Mole Fraction of CO,Hydrocarbon production,Coverage fraction of CO,Coverage fraction of H,Coverage fraction of C,Coverage fraction of empty sites,Average hydrocarbon production
0.05,331,0,0.9808,0.0009,0.0183,0.0008275,
0.1,4270,0.0011,0.8518,0.0142,0.1329,0.010675,
0.15,11922,0.0076,0.639,0.0519,0.3015,0.029805,
0.2,16108,0.0709,0.3918,0.1231,0.4142,0.04027,
0.25,0,0.6305,0.0346,0.3349,0,0,
0.3,0,0.6266,0.0342,0.3392,0,0,
0.35,0,0.6481,0.03,0.3219,0,0,
0.4,0,0.6547,0.037,0.3083,0,0,
0.45,0,0.6756,0.0298,0.2946,0,0,
0.5,0,0.6933,0.0296,0.2771,0,0,
0.55,0,0.7167,0.0288,0.2545,0,0,
0.6,0,0.7426,0.0278,0.2296,0,0,
0.65,0,0.7822,0.0264,0.1914,0,0,
0.7,0,0.8099,0.024,0.1661,0,0,
0.75,0,0.8429,0.0204,0.1367,0,0,
0.8,0,0.8844,0.0132,0.1024,0,0,
0.85,0,0.9164,0.0084,0.0752,0,0,
0.9,0,0.9389,0.006,0.0551,0,0,
0.95,0,0.9721,0.0018,0.0261,0,0,
1,0,1,0,0,0,0,
